no,table_name,direction,base,count,pps,dir_0_opackets,dir_0_ipackets,dir_1_opackets,dir_1_ipackets,dir_0_obytes,dir_0_ibytes,dir_1_obytes,dir_1_ibytes,dir_0_oerrors,dir_0_ierrors,dir_1_oerrors,dir_1_ierrors,lost_0,lost_1,elapsed
48,imix,both,0,1,2765486.726,82964419,36623396,82965172,31320477,33543070748,13757946848,30019553412,10634716874,0,0,0,0,51643942,46341776,39.52175999
49,imix,both,0,1,2765486.726,82964419,37386070,82965172,31940811,33543070748,14078483178,30019553412,10866404194,0,0,0,0,51023608,45579102,40.37334418
50,imix,both,0,1,1382743.363,41482349,27850201,41482401,23848854,16771624564,10596647026,15009666816,8184478472,0,0,0,0,17633495,13632200,30.02982712
51,imix,both,0,1,1382743.363,41482349,27768959,41482401,23825484,16771624564,10433349630,15009666816,8150829214,0,0,0,0,17656865,13713442,30.02876186
52,imix,both,0,1,691371.6814,20741175,22469487,20741060,19145704,8385812614,9084603206,7504825408,6927548480,0,0,0,0,1595471,-1728427,30.02799106
53,imix,both,0,1,1037057.522,31111641,27857299,31111589,23831623,12578686308,10806457876,11257237056,8302030678,0,0,0,0,7280018,3254290,30.02595687
54,imix,both,0,1,1037057.522,31111641,27866624,31111589,23844149,12578686308,10808262688,11257237056,8311121566,0,0,0,0,7267492,3244965,30.0255928
55,imix,both,0,1,864214.6018,25926396,27981928,25926475,23846013,10482237754,11300941128,9381053638,8614964848,0,0,0,0,2080383,-2055453,30.02063084
56,imix,both,0,1,864214.6018,25926396,27965911,25926475,23833581,10482237754,11291342558,9381053638,8608249942,0,0,0,0,2092815,-2039436,30.02490687
57,imix,both,0,1,777793.1416,23333789,25278299,23333815,21538881,9434027548,10220200362,8442941496,7793482686,0,0,0,0,1794908,-1944484,30.02588296
58,imix,both,0,1,821003.8717,24630092,26682675,24630167,22735469,9958122180,10787983082,8911985800,8226437248,0,0,0,0,1894623,-2052508,30.01858902
59,imix,both,0,1,842609.2367,25278299,27384774,25278253,23333815,10220200362,11071892000,9146531736,8442941496,0,0,0,0,1944484,-2106521,30.02083802
60,imix,both,0,1,853411.9192,25602284,27735850,25602323,23632876,10351222198,11213817778,9263774170,8551184686,0,0,0,0,1969408,-2133527,30.02532887
61,imix,both,0,1,858813.2605,25764474,27910432,25764370,23781632,10416765168,11284306342,9322421588,8604843524,0,0,0,0,1982842,-2146062,30.02269006
62,imix,both,0,1,858813.2605,25764474,27909895,25764370,23781136,10416765168,11284090252,9322421588,8604630458,0,0,0,0,1983338,-2145525,30.02508593
63,imix,both,0,1,856112.5899,25683287,27823677,25683399,23707643,10383957044,11249309610,9293091108,8578224378,0,0,0,0,1975644,-2140278,30.02163005
64,imix,both,0,1,857462.9252,25723944,27867521,25723864,23745186,10400370998,11267066462,9307765364,8591779886,0,0,0,0,1978758,-2143657,30.02689195
65,imix,both,0,1,858138.0929,25744076,27888506,25744065,23762824,10408534234,11275521072,9315065972,8598165134,0,0,0,0,1981252,-2144441,30.02359796
66,imix,both,0,1,858138.0929,25744076,27887779,25744065,23762230,10408534234,11275097178,9315065972,8597806710,0,0,0,0,1981846,-2143714,30.02144694
67,imix,both,0,1,857800.509,25734010,27877924,25733961,23753828,10404454874,11271258080,9311414914,8594899378,0,0,0,0,1980182,-2143963,30.02361703
68,imix,both,0,1,857800.509,25734010,27878310,25733961,23754146,10404454874,11271415674,9311414914,8594999812,0,0,0,0,1979864,-2144349,30.02327394
69,imix,both,0,1,857631.7171,25728852,27873058,25728982,23749703,10402379324,11269262236,9309571872,8593443088,0,0,0,0,1979149,-2144076,30.02321196
70,udp64b,encap,0,1,8116883.117,0,59022953,243513384,0,0,7909075702,15584856576,0,0,0,0,0,0,184490431,30.01897597
71,udp64b,encap,0,1,8116883.117,0,59028772,243513384,0,0,7909855448,15584856576,0,0,0,0,0,0,184484612,30.01600385
72,udp64b,encap,0,1,4058441.558,0,59007332,121756692,0,0,7906982488,7792428288,0,0,0,0,0,0,62749360,30.01789498
73,udp64b,encap,0,1,4058441.558,0,59036996,121756692,0,0,7910957464,7792428288,0,0,0,0,0,0,62719696,30.02228522
74,udp64b,encap,0,1,2029220.779,0,59012978,60878346,0,0,7907739052,3896214144,0,0,0,0,0,0,1865368,30.02035284
75,udp64b,encap,0,1,2029220.779,0,59138436,60878346,0,0,7924550424,3896214144,0,0,0,0,0,0,1739910,30.02450204
76,udp64b,encap,0,1,1014610.39,0,30438275,30438275,0,0,4078728850,1948049600,0,0,0,0,0,0,0,30.0246079
77,udp64b,encap,0,1,1521915.584,0,45656737,45656737,0,0,6118002758,2922031168,0,0,0,0,0,0,0,30.01828694
78,udp64b,encap,0,1,1775568.182,0,53268160,53268160,0,0,7137933440,3409162240,0,0,0,0,0,0,0,30.022017
79,udp64b,encap,0,1,1902394.481,0,57072818,57072818,0,0,7647757612,3652660352,0,0,0,0,0,0,0,30.02208519
80,udp64b,encap,0,1,1965807.63,0,58958411,58973177,0,0,7900427074,3774283328,0,0,0,0,0,0,14766,30.0253408
81,udp64b,encap,0,1,1965807.63,0,58940160,58973177,0,0,7897981440,3774283328,0,0,0,0,0,0,33017,30.02024412
82,udp64b,encap,0,1,1934101.055,0,58023764,58023764,0,0,7775184376,3713520896,0,0,0,0,0,0,0,30.02495503
83,udp64b,encap,0,1,1949954.343,0,58497938,58497938,0,0,7838723692,3743868032,0,0,0,0,0,0,0,30.02408195
84,udp64b,encap,0,1,1957880.986,0,58737943,58737943,0,0,7870884362,3759228352,0,0,0,0,0,0,0,30.01742482
85,udp64b,encap,0,1,1961844.308,0,58843157,58855325,0,0,7884983038,3766740800,0,0,0,0,0,0,12168,30.028579
86,udp64b,encap,0,1,1961844.308,0,58855325,58855325,0,0,7886613550,3766740800,0,0,0,0,0,0,0,30.02724886
87,udp64b,encap,0,1,1963825.969,0,58857695,58915876,0,0,7886931130,3770616064,0,0,0,0,0,0,58181,30.02087283
88,udp64b,encap,0,1,1963825.969,0,58905418,58915876,0,0,7893326012,3770616064,0,0,0,0,0,0,10458,30.01993203
89,udp64b,encap,0,1,1962835.138,0,58877931,58885585,0,0,7889642754,3768677440,0,0,0,0,0,0,7654,30.02170682
90,udp64b,encap,0,1,1962835.138,0,58884378,58885585,0,0,7890506652,3768677440,0,0,0,0,0,0,1207,30.0245769
91,udp64b,encap,0,1,1962339.723,0,58868770,58868770,0,0,7888415180,3767601280,0,0,0,0,0,0,0,30.0244031
92,udp64b,decap,0,1,8116883.117,243513384,0,0,62963263,32630793456,0,0,4029648832,0,0,0,0,180550121,0,30.01602101
93,udp64b,decap,0,1,8116883.117,243513384,0,0,63008535,32630793456,0,0,4032546240,0,0,0,0,180504849,0,30.02408409
94,udp64b,decap,0,1,4058441.558,121756692,0,0,63027630,16315396728,0,0,4033768320,0,0,0,0,58729062,0,30.02346706
95,udp64b,decap,0,1,4058441.558,121756692,0,0,63128554,16315396728,0,0,4040227456,0,0,0,0,58628138,0,30.0271709
96,udp64b,decap,0,1,2029220.779,60878346,0,0,60878346,8157698364,0,0,3896214144,0,0,0,0,0,0,30.0236752
97,udp64b,decap,0,1,3043831.169,91317519,0,0,63163134,12236547546,0,0,4042440576,0,0,0,0,28154385,0,30.01530623
98,udp64b,decap,0,1,3043831.169,91317519,0,0,63191625,12236547546,0,0,4044264000,0,0,0,0,28125894,0,30.02158284
99,udp64b,decap,0,1,2536525.974,76095686,0,0,63188976,10196821924,0,0,4044094464,0,0,0,0,12906710,0,30.02209306
100,udp64b,decap,0,1,2536525.974,76095686,0,0,63185075,10196821924,0,0,4043844800,0,0,0,0,12910611,0,30.02663207
101,udp64b,decap,0,1,2282873.377,68486623,0,0,62928068,9177207482,0,0,4027396352,0,0,0,0,5558555,0,30.02707005
