no,table_name,direction,base,count,pps,dir_0_opackets,dir_0_ipackets,dir_1_opackets,dir_1_ipackets,dir_0_obytes,dir_0_ibytes,dir_1_obytes,dir_1_ibytes,dir_0_oerrors,dir_0_ierrors,dir_1_oerrors,dir_1_ierrors,lost_0,lost_1,elapsed
1,imix,encap,0,1,2765486.726,0,55746796,82965172,0,0,20667253936,30019553412,0,0,0,0,0,0,27218376,30.02266884
2,imix,encap,0,1,2765486.726,0,55709587,82965172,0,0,20652584026,30019553412,0,0,0,0,0,0,27255585,30.02554202
3,imix,encap,0,1,1382743.363,0,44939254,41482401,0,0,18169242008,15009666816,0,0,0,0,0,0,-3456853,30.02365708
4,imix,encap,0,1,2074115.044,0,56639126,62223176,0,0,21888904648,22514473454,0,0,0,0,0,0,5584050,30.02070999
5,imix,encap,0,1,2074115.044,0,56589567,62223176,0,0,21863237512,22514473454,0,0,0,0,0,0,5633609,30.02577591
6,imix,encap,0,1,1728429.204,0,56173435,51852361,0,0,22711416946,18761992200,0,0,0,0,0,0,-4321074,30.01955485
7,imix,encap,0,1,1901272.124,0,56706869,57037619,0,0,22379046550,20638248448,0,0,0,0,0,0,330750,30.02119422
8,imix,encap,0,1,1901272.124,0,56630039,57037619,0,0,22344417620,20638248448,0,0,0,0,0,0,407580,30.02927589
9,imix,encap,0,1,1814850.664,0,56664263,54445185,0,0,22615018892,19700105598,0,0,0,0,0,0,-2219078,30.02770281
10,imix,encap,0,1,1814850.664,0,56634473,54445185,0,0,22599323296,19700105598,0,0,0,0,0,0,-2189288,30.01859593
11,imix,encap,0,1,1771639.934,0,56431700,53149541,0,0,22681473850,19231156154,0,0,0,0,0,0,-3282159,30.01825881
12,imix,encap,0,1,1771639.934,0,56857166,53149541,0,0,22899559984,19231156154,0,0,0,0,0,0,-3707625,30.01638103
13,imix,encap,0,1,1750034.569,0,55852766,52500977,0,0,22472116338,18996659112,0,0,0,0,0,0,-3351789,30.02079391
14,imix,encap,0,1,1750034.569,0,55430553,52500977,0,0,22259894964,18996659112,0,0,0,0,0,0,-2929576,30.01883793
15,imix,encap,0,1,1739231.886,0,56216988,52176910,0,0,22698111732,18879384118,0,0,0,0,0,0,-4040078,30.02533317
16,imix,encap,0,1,1739231.886,0,56457241,52176910,0,0,22819182840,18879384118,0,0,0,0,0,0,-4280331,30.01299095
17,imix,encap,0,1,1733830.545,0,56242525,52015205,0,0,22728133238,18820704420,0,0,0,0,0,0,-4227320,30.01444197
18,imix,encap,0,1,1733830.545,0,56286411,52015205,0,0,22750744256,18820704420,0,0,0,0,0,0,-4271206,30.02209497
19,imix,encap,0,1,1731129.874,0,56142057,51934109,0,0,22686397158,18791344468,0,0,0,0,0,0,-4207948,30.02790785
20,imix,encap,0,1,1731129.874,0,56204700,51934109,0,0,22718233190,18791344468,0,0,0,0,0,0,-4270591,30.02153397
21,imix,encap,0,1,1729779.539,0,56131421,51893348,0,0,22686063748,18776743216,0,0,0,0,0,0,-4238073,30.02386379
22,imix,encap,0,1,1729779.539,0,55565265,51893348,0,0,22400286278,18776743216,0,0,0,0,0,0,-3671917,30.01942515
23,imix,encap,0,1,1729104.371,0,55675658,51873436,0,0,22456662640,18769479260,0,0,0,0,0,0,-3802222,30.02362394
24,imix,encap,0,1,1729104.371,0,55536071,51873436,0,0,22383150662,18769479260,0,0,0,0,0,0,-3662635,30.02460098
25,imix,encap,0,1,1728766.787,0,55413718,51862887,0,0,22326858256,18765720916,0,0,0,0,0,0,-3550831,30.02223611
26,imix,encap,0,1,1728766.787,0,55819687,51862887,0,0,22533006470,18765720916,0,0,0,0,0,0,-3956800,30.01685905
27,imix,encap,0,1,1728597.995,0,54960756,51858067,0,0,22089276396,18763885372,0,0,0,0,0,0,-3102689,30.02965188
28,imix,encap,0,1,1728597.995,0,55915980,51858067,0,0,22580888122,18763885372,0,0,0,0,0,0,-4057913,30.02115202
29,imix,decap,0,1,2765486.726,82964419,0,0,52331999,33543070748,0,0,17534547478,0,0,0,0,30632420,0,30.03039718
30,imix,decap,0,1,2765486.726,82964419,0,0,52623057,33543070748,0,0,17629951594,0,0,0,0,30341362,0,30.01507401
31,imix,decap,0,1,1382743.363,41482349,0,0,38291407,16771624564,0,0,13855096366,0,0,0,0,3190942,0,30.02630806
32,imix,decap,0,1,2074115.044,62224002,0,0,52879389,25157562376,0,0,18559489590,0,0,0,0,9344613,0,30.01048398
33,imix,decap,0,1,2074115.044,62224002,0,0,53372306,25157562376,0,0,18759871250,0,0,0,0,8851696,0,30.02338696
34,imix,decap,0,1,1728429.204,51853305,0,0,47864619,20964618334,0,0,17318932240,0,0,0,0,3988686,0,30.01853395
35,imix,decap,0,1,1901272.124,57038341,0,0,52650796,23060969764,0,0,19050735714,0,0,0,0,4387545,0,30.02287197
36,imix,decap,0,1,1987693.584,59630906,0,0,54035971,24109255592,0,0,19385800620,0,0,0,0,5594935,0,30.02313495
37,imix,decap,0,1,1987693.584,59630906,0,0,54101380,24109255592,0,0,19412572848,0,0,0,0,5529526,0,30.02638793
38,imix,decap,0,1,1944482.854,58334783,0,0,53845482,23585070716,0,0,19482649330,0,0,0,0,4489301,0,30.02795792
39,imix,decap,0,1,1944482.854,58334783,0,0,53845524,23585070716,0,0,19482710722,0,0,0,0,4489259,0,30.0217731
40,imix,decap,0,1,1922877.489,57686439,0,0,51655084,23323034538,0,0,18493179626,0,0,0,0,6031355,0,30.01387811
41,imix,decap,0,1,1922877.489,57686439,0,0,52774065,23323034538,0,0,19036683166,0,0,0,0,4912374,0,30.02476192
42,imix,decap,0,1,1912074.806,57361929,0,0,52946177,23191976744,0,0,19157388222,0,0,0,0,4415752,0,30.0253098
43,imix,decap,0,1,1912074.806,57361929,0,0,52627789,23191976744,0,0,19000900450,0,0,0,0,4734140,0,30.02775502
44,imix,decap,0,1,1906673.465,57200213,0,0,51638792,23126411764,0,0,18530217932,0,0,0,0,5561421,0,30.02193499
45,imix,decap,0,1,1906673.465,57200213,0,0,52362165,23126411764,0,0,18887762320,0,0,0,0,4838048,0,30.02376699
46,imix,decap,0,1,1903972.795,57118702,0,0,52528404,23093581656,0,0,18981124540,0,0,0,0,4590298,0,30.02377486
47,imix,decap,0,1,1903972.795,57118702,0,0,52631346,23093581656,0,0,19031614576,0,0,0,0,4487356,0,30.026191
48,imix,decap,0,1,1902622.459,57079121,0,0,52686393,23077441228,0,0,19063389834,0,0,0,0,4392728,0,30.02364898
49,imix,decap,0,1,1902622.459,57079121,0,0,52688455,23077441228,0,0,19064340094,0,0,0,0,4390666,0,30.007128
50,imix,decap,0,1,1903297.627,57098597,0,0,52706378,23085547474,0,0,19071076808,0,0,0,0,4392219,0,30.01728988
51,imix,decap,0,1,1903635.211,57108667,0,0,52715662,23089579888,0,0,19074401178,0,0,0,0,4393005,0,30.02311206
52,imix,decap,0,1,1903804.003,57113703,0,0,52720305,23091596494,0,0,19076063692,0,0,0,0,4393398,0,30.02269101
53,imix,both,0,1,2765486.726,82964419,67451019,82965172,63524712,33543070748,25227957470,30019553412,21385328786,0,0,0,0,19439707,15514153,40.28187084
