no,table_name,direction,base,count,pps,dir_0_opackets,dir_0_ipackets,dir_1_opackets,dir_1_ipackets,dir_0_obytes,dir_0_ibytes,dir_1_obytes,dir_1_ibytes,dir_0_oerrors,dir_0_ierrors,dir_1_oerrors,dir_1_ierrors,lost_0,lost_1,elapsed,,,,,,,
34,imix,decap,0,1,518528.7611,15555838,0,0,14359235,6289345764,0,0,5195650692,0,0,0,0,1196603,0,30.01798105,,,,,14359235,14359235,0
35,imix,decap,0,1,604950.2212,18148499,0,0,16752460,7337578852,0,0,6061599766,0,0,0,0,1396039,0,30.02722692,,,,,16752460,16752461,1
36,imix,decap,0,1,648160.9513,19444801,0,0,17935926,7861682890,0,0,6488142490,0,0,0,0,1508875,0,30.02183795,,,,,17935926,17949047,13121
37,imix,decap,0,1,648160.9513,19444801,0,0,17949047,7861682890,0,0,6494563804,0,0,0,0,1495754,0,30.02413607,,,,,17949047,17949047,0
38,imix,decap,0,1,669766.3164,20092979,0,0,17065395,8123746252,0,0,4481622190,0,0,0,0,3027584,0,30.02471304,,,,,17065395,18547365,1481970
39,imix,decap,0,1,669766.3164,20092979,6,0,17033769,8123746252,7788,0,4433444370,0,0,0,0,3059210,-6,30.01673007,,,,,17033769,18547365,1513596
40,imix,decap,0,1,658963.6339,19768892,1,0,16727524,7992714044,1298,0,4294410556,0,0,0,0,3041368,-1,30.02460504,,,,,16727524,18248208,1520684
41,imix,decap,0,1,658963.6339,19768892,6,0,16865128,7992714044,7788,0,4525313220,0,0,0,0,2903764,-6,30.0290432,,,,,16865128,18248208,1383080
42,imix,decap,0,1,653562.2926,19606862,12,0,16842300,7927204588,15576,0,4641564212,0,0,0,0,2764562,-12,30.02920508,,,,,16842300,18098642,1256342
43,imix,decap,0,1,653562.2926,19606862,1,0,16783487,7927204588,1298,0,4568703984,0,0,0,0,2823375,-1,30.02033091,,,,,16783487,18098642,1315155
44,imix,decap,0,1,650861.622,19525826,12,0,17103311,7894444062,15576,0,5124383462,0,0,0,0,2422515,-12,30.02042389,,,,,17103311,18023839,920528
45,imix,decap,0,1,650861.622,19525826,0,0,17620318,7894444062,0,0,5930070938,0,0,0,0,1905508,0,30.02696681,,,,,17620318,18023839,403521
46,imix,decap,0,1,649511.2866,19485330,0,0,16701991,7878070428,0,0,4558434852,0,0,0,0,2783339,0,30.01830697,,,,,16701991,17986458,1284467
47,imix,decap,0,1,649511.2866,19485330,13,0,17986458,7878070428,16874,0,6508101840,0,0,0,0,1498872,-13,30.01863003,,,,,17986458,17986458,0
48,imix,decap,0,1,650186.4543,19505581,1,0,17101051,7886258344,1298,0,5164396264,0,0,0,0,2404530,-1,30.02489305,,,,,17101051,18005152,904101
49,imix,decap,0,1,650186.4543,19505581,0,0,16504721,7886258344,0,0,4237213214,0,0,0,0,3000860,0,30.02889609,,,,,16504721,18005152,1500431
50,imix,decap,0,1,649848.8705,19495444,0,0,17985839,7882158006,0,0,6506735942,0,0,0,0,1509605,0,30.01538491,,,,,17985839,17995794,9955
51,imix,decap,0,1,649848.8705,19495444,0,0,17413126,7882158006,0,0,5636978798,0,0,0,0,2082318,0,30.02515912,,,,,17413126,17995794,582668
52,imix,decap,0,1,649680.0786,19490408,32,0,17783501,7880121870,41536,0,6195732212,0,0,0,0,1706907,-32,30.02656198,,,,,17783501,17991146,207645
53,imix,decap,0,1,649680.0786,19490408,6,0,17989188,7880121870,7788,0,6508915386,0,0,0,0,1501220,-6,30.01708698,,,,,17989188,17991146,1958
54,imix,both,0,1,2765486.726,82964636,17723103,82964523,21403097,33543211496,6211681052,30019323970,5288370746,0,0,0,0,61561539,65241420,41.12163615,,17723103,89878233,72155130,21403097,76582741,55179644
55,imix,both,0,1,2765486.726,82964636,17730070,82964523,21418118,33543211496,6194299514,30019323970,5294635914,0,0,0,0,61546518,65234453,40.5175581,,17730070,89878233,72148163,21418118,76582741,55164623
56,imix,both,0,1,1382743.363,41482275,12779146,41482287,15640836,16771608760,4480892518,15009678980,3925641852,0,0,0,0,25841439,28703141,30.02460098,,12779146,44939144,32159998,15640836,38291331,22650495
57,imix,both,0,1,1382743.363,41482275,13033519,41482287,15910102,16771608760,4567486750,15009678980,3988124004,0,0,0,0,25572173,28448768,30.02844214,,13033519,44939144,31905625,15910102,38291331,22381229
58,imix,both,0,1,691371.6814,20741132,13096301,20741138,15854320,8385800296,4838797628,7504835034,4046597770,0,0,0,0,4886812,7644837,30.02762604,,13096301,22469566,9373265,15854320,19145660,3291340
59,imix,both,0,1,691371.6814,20741132,12890425,20741138,15599606,8385800296,4754289670,7504835034,3967626572,0,0,0,0,5141526,7850713,30.02470303,,12890425,22469566,9579141,15599606,19145660,3546054
60,imix,both,0,1,345685.8407,10370552,11234768,10370554,9572817,4192894228,4542304028,3752412188,3463764648,0,0,0,0,797735,-864214,30.01615,,11234768,11234767,-1,9572817,9572817,0
61,imix,both,0,1,518528.7611,15555838,13216111,15555845,14359235,6289345764,5060027448,5628621760,5195650692,0,0,0,0,1196603,2339734,30.03238511,,13216111,16852165,3636054,14359235,14359235,0
62,imix,both,0,1,518528.7611,15555838,13175948,15555845,14359235,6289345764,5040112156,5628621760,5195650692,0,0,0,0,1196603,2379897,30.03189707,,13175948,16852165,3676217,14359235,14359235,0
63,imix,both,0,1,432107.3009,12963209,13341068,12963213,11966039,5241125916,5325014318,4690522404,4329712606,0,0,0,0,997170,-377855,30.01968694,,13341068,14043481,702413,11966039,11966039,0
