,,table_name,direction,base,count,pps,dir_0_opackets,dir_0_ipackets,dir_1_opackets,dir_1_ipackets,dir_0_obytes,dir_0_ibytes,dir_1_obytes,dir_1_ibytes,dir_0_oerrors,dir_0_ierrors,dir_1_oerrors,dir_1_ierrors,lost_0,lost_1,elapsed,,table,direction,pps,bps
gdp,rcu-1core,udp64b,both,0,1,979435.9083,29383204,29383204,29383204,29383204,3937349336,3937349336,1880525056,1880525056,0,0,0,0,0,0,30.02257705,512,udp64b,both,979435.91,"501,471,185"
gdp,rcu-1core,udp128b,encap,0,1,1934296.494,0,58030297,58030297,0,0,11489998806,7427878016,0,0,0,0,0,0,0,30.0148201,1024,udp128b,encap,1934296.49,"1,980,719,610"
gdp,rcu-1core,udp128b,decap,0,1,2089684.163,62688813,0,0,62688813,12412384974,0,0,8024168064,0,0,0,0,0,0,30.02705097,1024,udp128b,decap,2089684.16,"2,139,836,583"
gdp,rcu-1core,udp128b,both,0,1,950524.5664,28515884,28515884,28515884,28515884,5646145032,5646145032,3650033152,3650033152,0,0,0,0,0,0,30.02116513,1024,udp128b,both,950524.57,"973,337,156"
gdp,rcu-1core,udp256b,encap,0,1,1887503.387,0,56624487,56624487,0,0,18459582762,14495868672,0,0,0,0,0,0,0,30.02496886,2048,udp256b,encap,1887503.39,"3,865,606,936"
gdp,rcu-1core,udp256b,decap,0,1,2067433.616,62021189,0,0,62021189,20218907614,0,0,15877424384,0,0,0,0,0,0,30.02599692,2048,udp256b,decap,2067433.62,"4,234,104,046"
gdp,rcu-1core,udp256b,both,0,1,920378.4039,27611491,27611491,27611491,27611491,9001346066,9001346066,7068541696,7068541696,0,0,0,0,0,0,30.02723503,2048,udp256b,both,920378.40,"1,884,934,971"
gdp,rcu-1core,udp512b,encap,0,1,1689999.603,0,50700515,50700515,0,0,29507699730,25958663680,0,0,0,0,0,0,0,30.01985288,4096,udp512b,encap,1689999.60,"6,922,238,372"
gdp,rcu-1core,udp512b,decap,0,1,1926358.752,57789548,0,0,57789548,33633516936,0,0,29588248576,0,0,0,0,0,0,30.01876092,4096,udp512b,decap,1926358.75,"7,890,365,449"
gdp,rcu-1core,udp512b,both,0,1,833276.8944,24997991,24997991,24997991,24997991,14548830762,14548830762,12798971392,12798971392,0,0,0,0,0,0,30.01677823,4096,udp512b,both,833276.89,"3,413,102,159"
gdp,rcu-1core,udp1024b,encap,0,1,1122151.072,0,33664016,33664016,0,0,36828433504,34471952384,0,0,0,0,0,0,0,30.02353287,8192,udp1024b,encap,1122151.07,"9,192,661,580"
gdp,rcu-1core,udp1024b,decap,0,1,1123315.342,33699234,0,0,33699234,36866961996,0,0,34508015616,0,0,0,0,0,0,30.04837418,8192,udp1024b,decap,1123315.34,"9,202,199,282"
gdp,rcu-1core,udp1024b,both,0,1,682399.3457,20472129,20472129,20472129,20472129,22396509126,22396509126,20963460096,20963460096,0,0,0,0,0,0,30.02701092,8192,udp1024b,both,682399.35,"5,590,215,440"
gdp,rcu-1core,udp1280b,encap,0,1,912464.4481,0,27373916,27373916,0,0,36954786600,35038612480,0,0,0,0,0,0,0,30.01156497,10240,udp1280b,encap,912464.45,"9,343,635,949"
gdp,rcu-1core,udp1280b,decap,0,1,913578.2284,27407396,0,0,27407396,36999984600,0,0,35081466880,0,0,0,0,0,0,30.04920197,10240,udp1280b,decap,913578.23,"9,355,041,058"
gdp,rcu-1core,udp1280b,both,0,1,563628.4821,16908766,16908766,16908766,16908766,22826834100,22826834100,21643220480,21643220480,0,0,0,0,0,0,30.01834297,10240,udp1280b,both,563628.48,"5,771,555,657"
gdp,rcu-1core,udp1518b,encap,0,1,734424.1166,0,44065072,22032536,0,0,36618074832,33445389648,0,0,0,0,0,0,-22032536,30.0270679,12144,udp1518b,encap,734424.12,"8,918,846,472"
gdp,rcu-1core,udp1518b,decap,0,1,1470224.181,44106552,0,0,22053276,36652544712,0,0,33476872968,0,0,0,0,22053276,0,30.04704404,12144,udp1518b,decap,735112.09,"8,927,201,228"
gdp,rcu-1core,udp1518b,both,0,1,600672.4799,18020212,36040424,18020212,9010106,14974796172,29949592344,27354681816,13677340908,0,0,0,0,9010106,-18020212,30.02558088,12144,udp1518b,both,400448.32,"4,863,044,397"
gdp,rcu-2core,imix,encap,0,1,1728429.204,0,56173435,51852361,0,0,22711416946,18761992200,0,0,0,0,0,0,-4321074,30.01955485,3054.666666,imix,encap,1728429.20,"5,279,775,073"
gdp,rcu-2core,imix,decap,0,1,1903804.003,57113703,0,0,52720305,23091596494,0,0,19076063692,0,0,0,0,4393398,0,30.02269101,3054.666666,imix,decap,1757357.54,"5,368,141,501"
gdp,rcu-2core,imix,both,0,1,1519464.814,45583826,49382792,45584136,42077372,18429961860,19965803976,16493814502,15225068224,0,0,0,0,3506454,-3798656,30.02859592,3054.666666,imix,both,1458686.22,"4,455,800,176"
